STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Nebraska,1940,Presidential Electors,,,Democratic,263677
Nebraska,1940,Senate,,Hugh A. Butler,Republican,340250
Nebraska,1940,Senate,,R. L. Cochran,Democrat,247659
Nebraska,1940,Senate,,Albert F. Ruthven,,8982
Nebraska,1940,House,1,Oren S. Copeland,Republican,64431
Nebraska,1940,House,1,Henry C. Luckey,Democrat,51524
Nebraska,1940,House,2,Charles F. McLaughlin,Democrat,58760
Nebraska,1940,House,2,Theodore W. Metcalfe,Republican,52669
Nebraska,1940,House,3,Nat Stefan,Republican,90561
Nebraska,1940,House,3,Victor J. McGuire,Democrat,19253
Nebraska,1940,House,3,Paul Burke,,3461
Nebraska,1940,House,4,Carl T. Curtis,Republican,69666
Nebraska,1940,House,4,R. O. Canaday,Democrat,29311
Nebraska,1940,House,4,Charles G. Hinderm,,"19307"
Nebraska,1940,House,5,Harry B. Coffee,Democrat,63922
Nebraska,1940,House,5,Bert Howard,Republican,45545
Nevada,1940,Presidential Electors,,,Democratic,31945
Nevada,1940,Presidential Electors,,,Republican,21229
Nevada,1940,Senate,,Key Pittman,Democrat,31351
Nevada,1940,Senate,,Samuel Platt,Republican,20488
Nevada,1940,House,,James G. Scrugham,Democrat,32714
Nevada,1940,House,,Ralph W. Lattin,Republican,18032
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
California,1936,House,8,John Z. Anderson,Republican,148180
California,1936,House,8,Elizabeth Nicholas,Communist,5186
California,1936,House,8,J.J. McGrath,Write-In,37
California,1936,House,8,Scattering,,133
California,1936,House,9,Bertrand W. Gearhart,Republican,99708
California,1936,House,9,Scattering,,56
California,1936,House,10,A.J. Elliott,Democrat,125845
California,1936,House,10,Louretta Adams,Communist,3826
California,1936,House,10,Scattering,,394
California,1936,House,11,Carl Hinshaw,Republican,170504
California,1936,House,11,Oria E. Lair,Communist,6003
California,1936,House,11,Scattering,,799
California,1936,House,12,Jerry Voorhis,Democrat,99494
California,1936,House,12,Irwin W. Mirgen,Republican,54731
California,1936,House,12,Albert Lewis,Communist,1152
California,1936,House,12,Scattering,,11
California,1936,House,13,Charles Kramer,Democrat,127167
California,1936,House,13,Charles H. Randall,Prohibition,36406
California,1936,House,13,Celeste Strack,Communist,4344
California,1936,House,13,Scattering,,113
California,1936,House,14,Thomas F. Ford,Democrat,73737
California,1936,House,14,Herbert H. Herberts,Republican,37039
California,1936,House,14,Pettis Perry,Communist,2732
California,1936,House,14,Scattering,,7
California,1936,House,15,John M. Costello,Democrat,94734
California,1936,House,15,Norris J. Nelson,Republican,71657
California,1936,House,15,Imri Freed,Communist,2004
California,1936,House,15,Scattering,,49
California,1936,House,16,Leland M. Ford,Republican,188949
California,1936,House,16,George C. Sandy,Communist,7017
California,1936,House,16,Scattering,,208
California,1936,House,17,Lee E. Geyer,Democrat,75009
California,1936,House,17,Clifton A. Hix,Republican,32662
California,1936,House,17,Samuel C. Converse,Progressive,1577
California,1936,House,17,Harry L. Gray,Communist,925
California,1936,House,17,Scattering,,25
California,1936,House,18,Ward Johnson,Republican,73923
California,1936,House,18,Byron N. Scott,Democrat,60764
California,1936,House,18,George R. Ashby,Communist,1535
California,1936,House,18,Scattering,,55
California,1936,House,19,Harry R. Sheppard,Democrat,84931
California,1936,House,19,Lotus H. Loudon,Republican,75945
California,1936,House,19,Scattering,,145
California,1936,House,20,Ed. V. Izac,Democrat,69574
California,1936,House,20,Ed. Fletcher,Republican,66132
California,1936,House,20,Eseo L. Richardson,Communist,806
Colorado,1936,Presidential Electors,,,Republican,,279576
Colorado,1936,Presidential Electors,,,Democratic,,265554
Colorado,1936,Presidential Electors,,,Socialist,,8999
Colorado,1936,Presidential Electors,,,Prohibition,,1597
Colorado,1936,Presidential Electors,,,Communist,,378
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
MINNESOTA,1936,Senate,,Henrik Shipstead,Republican,641049
MINNESOTA,1936,Senate,,Elmer A. Benson,Farmer-Labor,310875
MINNESOTA,1936,Senate,,John E. Regan,Democrat,248658
MINNESOTA,1936,Senate,,Grace Holmes Carlson,,781
MINNESOTA,1936,Senate,,Carl Winter,,256
MINNESOTA,1936,House,1,August H. Andresen,Republican,88414
MINNESOTA,1936,House,1,Francis L. Murphy,Democrat,27479
MINNESOTA,1936,House,1,Endre B. Anderson,Farmer-Labor,20070
MINNESOTA,1936,House,2,Joseph P. O'Hara,Republican,66610
MINNESOTA,1936,House,2,Elmer J. Ryan,Democrat,57373
MINNESOTA,1936,House,2,C. E. McNaught,Farmer-Labor,11554
MINNESOTA,1936,House,3,Richard P. (Dick) Gale,Republican,63824
MINNESOTA,1936,House,3,Henry G. Teigan,Farmer-Labor,50322
MINNESOTA,1936,House,3,Martin A. Hogan,Democrat,28421
MINNESOTA,1936,House,4,John G. Alexander,,0
MINNESOTA,1936,House,4,Melvin J. Maas,Republican,68525
MINNESOTA,1936,House,4,George L. Siegel,Farmer-Labor,32805
MINNESOTA,1936,House,4,Willard J. Moran,Democrat,15650
MINNESOTA,1936,House,5,Oscar Youngdahl,Republican,79911
MINNESOTA,1936,House,5,Dewey Johnson,Farmer-Labor,75289
MINNESOTA,1936,House,5,LaMoine Montgomery Dowling,Democrat,20270
MINNESOTA,1936,House,6,Harold Knutson,Republican,84023
MINNESOTA,1936,House,6,Et. Thomas O'Brien,Democrat,52004
MINNESOTA,1936,House,7,H. Carl Andersen,Republican,65958
MINNESOTA,1936,House,7,Harold L. Peterson,Farmer-Labor,42356
MINNESOTA,1936,House,7,J. J. O'Connor,Democrat,21796
MINNESOTA,1936,House,8,William A. Pittenger,Republican,74521
MINNESOTA,1936,House,8,John T. Bernard,Farmer-Labor,39252
MINNESOTA,1936,House,8,W. W. Balsimo,Democrat,24845
MINNESOTA,1936,House,9,Richard Thompson Buckler,Farmer-Labor,24945
MINNESOTA,1936,House,9,Colvin G. Butler,Republican,48324
MINNESOTA,1936,House,9,Frank H. Timon,Democrat,15507
MISSISSIPPI,1936,Presidential,,Democratic,,168267
MISSISSIPPI,1936,Presidential,,Independent Republican,,4550
MISSISSIPPI,1936,Presidential,,Republican,,2814
MISSISSIPPI,1936,Presidential,,Socialist,,193
MISSISSIPPI,1936,Senate,,Theodore G. Bilbo,Democrat,143431
MISSISSIPPI,1936,House,1,John E. Rankin,Democrat,19330
MISSISSIPPI,1936,House,2,Wall Doxey,Democrat,16939
MISSISSIPPI,1936,House,3,William M. Whittington,Democrat,15884
MISSISSIPPI,1936,House,4,A. L. Ford,Democrat,15329
MISSISSIPPI,1936,House,5,Ross A. Collins,Democrat,24079
MISSISSIPPI,1936,House,6,William M. Colmer,Democrat,26879
MISSISSIPPI,1936,House,7,Dan R. McGehee,Democrat,20799
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Alabama,1940,Presidential Electors,,,Democratic,250726
Alabama,1940,Presidential Electors,,,Republican,42184
Alabama,1940,Presidential Electors,,,Prohibition,700
Alabama,1940,Presidential Electors,,,Communist,509
Alabama,1940,Presidential Electors,,,Socialist,100
Alabama,1940,House,1,Frank W. Boykin,Democrat,25993
Alabama,1940,House,2,George Grant,Democrat,33433
Alabama,1940,House,3,Henry B. Steagall,Democrat,22906
Alabama,1940,House,3,Thomas G. McEnaron,Republican,81
Alabama,1940,House,4,Sam Hobbs,Democrat,24870
Alabama,1940,House,5,Thomas G. McEnaron,Republican,428
Alabama,1940,House,5,Joe Starnes,Democrat,31966
Alabama,1940,House,6,George Bogus,Write-In,51
Alabama,1940,House,6,Pete Jarman,Democrat,18581
Alabama,1940,House,7,Walter Will Bankhead,Democrat,27696
Alabama,1940,House,7,W. H. Hargett,Republican,11385
Alabama,1940,House,8,John J. Sparkman,Democrat,29060
Alabama,1940,House,9,Luther Patrick,Democrat,30600
Alabama,1940,House,9,W. A. Denson,Independent,312
Arizona,1940,Presidential Electors,,,Democratic,95267
Arizona,1940,Presidential Electors,,,Republican,54030
Arizona,1940,Presidential Electors,,,Prohibition,742
Arizona,1940,Senate,,,Ernest W. McFarland,Democrat,101495
Arizona,1940,Senate,,,Irving A. Jennings,Republican,39657
Arizona,1940,Senate,,,A. Walter Gehres,Prohibition,579
Arizona,1940,House,,John R. Murdock,Democrat,99424
Arizona,1940,House,,K. T. Palmer,Republican,40360
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
PENNSYLVANIA,1944,House,27,Harve Tibbott,Republican,75243
PENNSYLVANIA,1944,House,27,Joseph Gray,Democrat,69736
PENNSYLVANIA,1944,House,27,James O. Arber,Prohibition,773
PENNSYLVANIA,1944,House,28,Augustine B. Kelley,Democrat,58772
PENNSYLVANIA,1944,House,28,James M. Underwood,Republican,44528
PENNSYLVANIA,1944,House,28,A. F. Daughenbaugh,Progressive Labor,1743
PENNSYLVANIA,1944,House,28,S. W. Bierer,Prohibition,523
PENNSYLVANIA,1944,House,29,Robert I. Rodgers,Republican,50147
PENNSYLVANIA,1944,House,29,James F. Lavery,Democrat,41942
PENNSYLVANIA,1944,House,29,Ira M. Ramsey,Prohibition,970
PENNSYLVANIA,1944,House,30,Thomas E. Scanlon,Democrat,62450
PENNSYLVANIA,1944,House,30,Robert J. Corbett,Republican,62097
PENNSYLVANIA,1944,House,30,Scattering,,2
PENNSYLVANIA,1944,House,31,Samuel A. Weiss,Democrat,76819
PENNSYLVANIA,1944,House,31,John McDowell,Republican,59960
PENNSYLVANIA,1944,House,31,M. J. Diehl,Prohibition,370
PENNSYLVANIA,1944,House,31,George Bush,Progressive Labor,359
PENNSYLVANIA,1944,House,31,Ben Finley,Communist,335
PENNSYLVANIA,1944,House,31,Scattering,,15
PENNSYLVANIA,1944,House,32,Herman P. Eberharter,Democrat,62151
PENNSYLVANIA,1944,House,32,Samuel M. Jackson,Republican,28196
PENNSYLVANIA,1944,House,32,H. Joseph Pfifer,Communist,216
PENNSYLVANIA,1944,House,33,Joseph A. McArdle,Democrat,70324
PENNSYLVANIA,1944,House,33,James I. Marsh,Republican,57737
PENNSYLVANIA,1944,House,33,Charles A. Brown,Prohibition,107
PENNSYLVANIA,1944,House,33,Scattering,,2
PENNSYLVANIA,1944,House,34,James A. Wright,Democrat,75004
PENNSYLVANIA,1944,House,34,Robert B. McKinley,Republican,46364
PENNSYLVANIA,1944,House,34,Scattering,,1
RHODE ISLAND,1944,Presidential Electors,,,Democratic,181122
RHODE ISLAND,1944,Presidential Electors,,,Republican,133719
RHODE ISLAND,1944,Presidential Electors,,,Communist,1012
RHODE ISLAND,1944,Presidential Electors,,,Prohibition,74
RHODE ISLAND,1944,Senate,,,Peter G. Gerry,Democrat,173927
RHODE ISLAND,1944,Senate,,,James O. McManus,Republican,141401
RHODE ISLAND,1944,House,1,Aime J. Forand,Democrat,87327
RHODE ISLAND,1944,House,1,Charles F. Risk,Republican,64517
RHODE ISLAND,1944,House,2,John E. Fogarty,Democrat,87253
RHODE ISLAND,1944,House,2,Harry Sandager,Republican,74926
SOUTH CAROLINA,1944,Presidential Electors,,,Democratic,95470
SOUTH CAROLINA,1944,Presidential Electors,,,Jeffersonian Democratic,2496
SOUTH CAROLINA,1944,Presidential Electors,,,Republican,1727
SOUTH CAROLINA,1944,Presidential Electors,,,Republican (Tolbert Faction),137
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
PENNSYLVANIA,1944,House,10,J. Roland Kinzer,Republican,72848
PENNSYLVANIA,1944,House,10,George W. May,Democrat,53333
PENNSYLVANIA,1944,House,10,John Granville Eddy,Communist,953
PENNSYLVANIA,1944,House,11,Patrick J. Boland,Democrat,65098
PENNSYLVANIA,1944,House,11,Joseph F. Gunster,Republican,58381
PENNSYLVANIA,1944,House,12,J. Harold Flannery,Democrat,101854
PENNSYLVANIA,1944,House,12,Henry Pool,Republican,74305
PENNSYLVANIA,1944,House,12,Ivor D. Fenton,Republican,77017
PENNSYLVANIA,1944,House,13,James H. Gildea,Democrat,64057
PENNSYLVANIA,1944,House,13,Robert J. Lesser,Independent,8545
PENNSYLVANIA,1944,House,13,Guy L. Moyer,Democrat,48110
PENNSYLVANIA,1944,House,13,John C. Evans,Republican,14145
PENNSYLVANIA,1944,House,13,Raymond S. Hofses,Socialist,839
PENNSYLVANIA,1944,House,13,Harry A. Obold,Independent,690
PENNSYLVANIA,1944,House,13,William N. Stoltenberg,Prohibition,699
PENNSYLVANIA,1944,House,13,Ben Rubin,Communist,183
PENNSYLVANIA,1944,House,13,Scattering,,92
PENNSYLVANIA,1944,House,14,Albert G. Rutherford,Republican,54921
PENNSYLVANIA,1944,House,14,F. R. Clark,Democrat,35661
PENNSYLVANIA,1944,House,14,Fred P. Millington,Prohibition,405
PENNSYLVANIA,1944,House,15,Robert F. Rich,Republican,61167
PENNSYLVANIA,1944,House,15,Hugh Gilmore,Democrat,39984
PENNSYLVANIA,1944,House,15,William Ditter,Republican,73595
PENNSYLVANIA,1944,House,16,Victor Eppstein,Democrat,75006
PENNSYLVANIA,1944,House,16,Senator Mitt,,45416
PENNSYLVANIA,1944,House,17,Richard M. Simpson,Republican,46598
PENNSYLVANIA,1944,House,17,John M. Kiehlne,Democrat,34325
PENNSYLVANIA,1944,House,17,Scattering,,322
PENNSYLVANIA,1944,House,19,John C. Kunkel,Republican,74412
PENNSYLVANIA,1944,House,19,John A. Smith,Democrat,62298
PENNSYLVANIA,1944,House,19,Benjamin Jarrett,Republican,64845
PENNSYLVANIA,1944,House,20,John R. Boland Jr.,Democrat,41914
PENNSYLVANIA,1944,House,20,Robert G. Burnham,Republican,64196
PENNSYLVANIA,1944,House,21,Francis E. Walter,Democrat,52530
PENNSYLVANIA,1944,House,21,T. Fred Woolley,Republican,40693
PENNSYLVANIA,1944,House,21,Walter M. Trumbull,Communist,125
PENNSYLVANIA,1944,House,21,Scattering,,2
PENNSYLVANIA,1944,House,22,Harry L. Haines,Democrat,60482
PENNSYLVANIA,1944,House,22,Chester H. Gross,Republican,49532
PENNSYLVANIA,1944,House,22,Raymond N. Feil,Prohibition,600
PENNSYLVANIA,1944,House,22,Scattering,,5
PENNSYLVANIA,1944,House,23,James E. Van Zandt,Republican,57027
PENNSYLVANIA,1944,House,23,William M. Ackerman,Democrat,44263
PENNSYLVANIA,1944,House,23,Scattering,,7
PENNSYLVANIA,1944,House,24,J. Buell Snyder,Democrat,54631
PENNSYLVANIA,1944,House,24,J. Clarke Glassburn,Republican,41641
PENNSYLVANIA,1944,House,24,Minnie B. Shaulis,Prohibition,202
PENNSYLVANIA,1944,House,25,Charles I. Faddis,Democrat,58442
PENNSYLVANIA,1944,House,25,Luther Mock Crumrine,Republican,37357
PENNSYLVANIA,1944,House,25,Scattering,,2
PENNSYLVANIA,1944,House,26,Louis E. Graham,Republican,64669
PENNSYLVANIA,1944,House,26,Peter P. Reising,Democrat,62273
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Michigan,1940,House,4,Clare E. Hoffman,Republican,65665
Michigan,1940,House,4,Harvey Hope Jarvis,Democrat,40448
Michigan,1940,House,4,Sarah Bishop,Prohibition,822
Michigan,1940,House,5,Bartel J. Jonkman,Republican,65420
Michigan,1940,House,5,Garrett Heyns,Democrat,41572
Michigan,1940,House,6,William W. Blackney,Republican,77440
Michigan,1940,House,6,Charles R. Aday,Democrat,73629
Michigan,1940,House,6,Harry F. Grifin,Socialist,935
Michigan,1940,House,6,Royal S. Woodhead,Prohibition,1335
Michigan,1940,House,7,Jesse P. Wolcott,Republican,63976
Michigan,1940,House,7,Albert A. Wagner,Democrat,39416
Michigan,1940,House,7,Edward Coller,Prohibition,666
Michigan,1940,House,8,Fred L. Crawford,Republican,85665
Michigan,1940,House,8,Louis C. Schwinger,Democrat,43297
Michigan,1940,House,8,Holgar Larson,Prohibition,2672
Michigan,1940,House,9,Albert J. Engel,Republican,59432
Michigan,1940,House,9,Noel P. Fox,Democrat,30667
Michigan,1940,House,9,William H. Holser,Prohibition,654
Michigan,1940,House,10,Roy O. Woodruff,Republican,52863
Michigan,1940,House,10,William J. Kelly,Democrat,22489
Michigan,1940,House,10,J. H. Mastel,Socialist,370
Michigan,1940,House,11,Gustave May,Man,Prohibition,487
Michigan,1940,House,11,Fred Bradley,Republican,48076
Michigan,1940,House,11,Wendell L. Lund,Democrat,15828
Michigan,1940,House,11,Raymond Anderson,Communist,259
Michigan,1940,House,11,S. Bessie Dickson,Prohibition,49
Michigan,1940,House,12,Frank E. Hook,Democrat,47439
Michigan,1940,House,12,John B. Bennett,Republican,44730
Michigan,1940,House,12,Arvo N. Phillips,Communist,923
Michigan,1940,House,12,George O'Brien,Democrat,66985
Michigan,1940,House,13,Clarence J. McLeod,Republican,55115
Michigan,1940,House,13,William Jenkins,Socialist,360
Michigan,1940,House,13,Hugo Beiswenger,Communist,244
Michigan,1940,House,14,Louis C. Rabaut,Democrat,70134
Michigan,1940,House,14,George B. Schaeffer,Republican,36701
Michigan,1940,House,14,John D. Dingell,Democrat,86230
Michigan,1940,House,15,Archer C. Fraser,Republican,86131
Michigan,1940,House,15,Woodrow Ingram,Socialist,352
Michigan,1940,House,15,John Lesinski,Democrat,73966
Michigan,1940,House,16,Robert Ford,Republican,51276
Michigan,1940,House,16,Mint Nauta,Socialist,329
Michigan,1940,House,16,Nat Wald,Communist,19
Michigan,1940,House,17,George A. Dondero,Republican,82809
Michigan,1940,House,17,Draper Allen,Democrat,68105
Michigan,1940,House,17,W. A. Allmendinger,Socialist,306
Minnesota,1940,Presidential Electors,,,,"Democratic",644196
Minnesota,1940,Presidential Electors,,,,"Republican",596274
Minnesota,1940,Presidential Electors,,,,"Socialist",36544
Minnesota,1940,Presidential Electors,,,,"Communist",2711
Minnesota,1940,Presidential Electors,,,,"Industrial",2553
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
New Hampshire,1888,Presidential,,,,43,456
New Jersey,1888,Presidential,,,,183,524
New Mexico,1888,Presidential,,,,32,084
New York,1888,Presidential,,,,1,180,621
North Carolina,1888,Presidential,,,,183,292
North Dakota,1888,Presidential,,,,34,876
Ohio,1888,Presidential,,,,837,694
Oklahoma,1888,Presidential,,,,5,258
Oregon,1888,Presidential,,,,63,586
Pennsylvania,1888,Presidential,,,,837,225
Rhode Island,1888,Presidential,,,,52,175
South Carolina,1888,Presidential,,,,85,407
South Dakota,1888,Presidential,,,,69,867
Tennessee,1888,Presidential,,,,222,877
Texas,1888,Presidential,,,,333,439
Vermont,1888,Presidential,,,,47,684
Virginia,1888,Presidential,,,,305,437
Washington,1888,Presidential,,,,49,457
West Virginia,1888,Presidential,,,,151,146
Wisconsin,1888,Presidential,,,,345,285
Wyoming,1888,Presidential,,,,27,259
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
KANSAS,1940,House,3,Thomas D. Winter,Republican,60381
KANSAS,1940,House,3,W. E. Ledbetter,Democrat,48791
KANSAS,1940,House,4,Edward H. Rees,Republican,58873
KANSAS,1940,House,4,Dudley Doolittle,Democrat,48497
KANSAS,1940,House,5,John M. Houston,Democrat,58486
KANSAS,1940,House,5,Stanley Taylor,Republican,62901
KANSAS,1940,House,6,Frank Carlson,Republican,68927
KANSAS,1940,House,6,Max Jones,Democrat,44702
KANSAS,1940,House,7,Clifford R. Hope,Republican,75349
KANSAS,1940,House,7,Claude E. Main,Democrat,42518
KENTUCKY,1940,Presidential Electors,,,Democratic,Democratic,557222
KENTUCKY,1940,Presidential Electors,,,Republican,Republican,410284
KENTUCKY,1940,Presidential Electors,,,Prohibition,Prohibition,1443
KENTUCKY,1940,Presidential Electors,,,Socialist,Socialist,1014
KENTUCKY,1940,Senate,,,Albert B. Chandler,Democrat,561151
KENTUCKY,1940,Senate,,,Walter B. Smith,Republican,401812
KENTUCKY,1940,House,1,Noble J. Gregory,Democrat,60777
KENTUCKY,1940,House,2,Beverly M. Vincent,Democrat,69905
KENTUCKY,1940,House,3,Emmet O'Neal,Democrat,96253
KENTUCKY,1940,House,3,Ben J. Brumleve,Republican,46053
KENTUCKY,1940,House,4,Edward W. Creal,Democrat,65541
KENTUCKY,1940,House,5,Lewis H. Mather,Republican,39447
KENTUCKY,1940,House,5,Brent Spence,Democrat,51954
KENTUCKY,1940,House,6,Henry F. Cook,Republican,32981
KENTUCKY,1940,House,6,Virgil Chapman,Democrat,74463
KENTUCKY,1940,House,7,William D. Rogers,Republican,44700
KENTUCKY,1940,House,7,Andrew J. May,Democrat,44185
KENTUCKY,1940,House,8,James W. (Jim) Turner,Republican,33574
KENTUCKY,1940,House,8,Joe B. Bates,Democrat,61851
KENTUCKY,1940,House,9,H. Clell Hayes,Republican,44736
KENTUCKY,1940,House,9,John M. Robsion,Republican,69415
KENTUCKY,1940,House,9,Herbert Rowland,Democrat,43013
LOUISIANA,1940,Presidential Electors,,,Democratic,Democratic,310751
LOUISIANA,1940,Presidential Electors,,,Republican,Republican,52446
LOUISIANA,1940,Presidential Electors,,,Independent,Independent,108
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
COLORADO,1932,House,1,Lawrence Lewis,Democrat,110078
